"year","state","state_po","county_name","party","candidatevotes","totalvotes","percentvote"
"2000","ARIZONA","AZ","MARICOPA","DEMOCRAT","386683","901699","42.88"
"2000","ARIZONA","AZ","MARICOPA","REPUBLICAN","479967","901699","53.23"
"2000","ARIZONA","AZ","MOHAVE","DEMOCRAT","17470","44141","39.58"
"2000","ARIZONA","AZ","MOHAVE","REPUBLICAN","24386","44141","55.25"
"2000","ARIZONA","AZ","NAVAJO","DEMOCRAT","11794","25147","46.90"
"2000","ARIZONA","AZ","NAVAJO","REPUBLICAN","12386","25147","49.25"
"2000","ARIZONA","AZ","PIMA","DEMOCRAT","147688","287640","51.34"
"2000","ARIZONA","AZ","PIMA","REPUBLICAN","124579","287640","43.31"
"2000","ARIZONA","AZ","PINAL","DEMOCRAT","19650","41290","47.59"
"2000","ARIZONA","AZ","PINAL","REPUBLICAN","20122","41290","48.73"
"2000","ARIZONA","AZ","SANTA CRUZ","DEMOCRAT","5233","8893","58.84"
"2000","ARIZONA","AZ","SANTA CRUZ","REPUBLICAN","3344","8893","37.60"
"2000","ARIZONA","AZ","YAVAPAI","DEMOCRAT","24063","68228","35.27"
"2000","ARIZONA","AZ","YAVAPAI","REPUBLICAN","40144","68228","58.84"
"2000","ARIZONA","AZ","YUMA","DEMOCRAT","12055","28652","42.07"
"2000","ARIZONA","AZ","YUMA","REPUBLICAN","15708","28652","54.82"
"2000","ARKANSAS","AR","ARKANSAS","DEMOCRAT","2877","6372","45.15"
"2000","ARKANSAS","AR","ARKANSAS","REPUBLICAN","3353","6372","52.62"
"2000","ARKANSAS","AR","ASHLEY","DEMOCRAT","4253","8271","51.42"
"2000","ARKANSAS","AR","ASHLEY","REPUBLICAN","3876","8271","46.86"
"2000","ARKANSAS","AR","BAXTER","DEMOCRAT","6516","16708","39.00"
"2000","ARKANSAS","AR","BAXTER","REPUBLICAN","9538","16708","57.09"
"2000","ARKANSAS","AR","BENTON","DEMOCRAT","17277","53646","32.21"
"2000","ARKANSAS","AR","BENTON","REPUBLICAN","34838","53646","64.94"
"2000","ARKANSAS","AR","BOONE","DEMOCRAT","4493","13635","32.95"
"2000","ARKANSAS","AR","BOONE","REPUBLICAN","8569","13635","62.85"
"2000","ARKANSAS","AR","BRADLEY","DEMOCRAT","2122","3979","53.33"
"2000","ARKANSAS","AR","BRADLEY","REPUBLICAN","1793","3979","45.06"
"2000","ARKANSAS","AR","CALHOUN","DEMOCRAT","1017","2185","46.54"
"2000","ARKANSAS","AR","CALHOUN","REPUBLICAN","1128","2185","51.62"
"2000","ARKANSAS","AR","CARROLL","DEMOCRAT","3595","9590","37.49"
"2000","ARKANSAS","AR","CARROLL","REPUBLICAN","5556","9590","57.94"
"2000","ARKANSAS","AR","CHICOT","DEMOCRAT","2820","4452","63.34"
"2000","ARKANSAS","AR","CHICOT","REPUBLICAN","1564","4452","35.13"
"2000","ARKANSAS","AR","CLARK","DEMOCRAT","4661","8626","54.03"
